"БЛОК А. ""НАЗВАНИЕ БЛОКА"""
"1. ""Вопрос"""
1) Ответ_1 - верно
2) Ответ_2
3) Ответ_3
4) Ответ_4
"2. ""Вопрос"""
1) Ответ_1
2) Ответ_2
3) Ответ_3 - верно
4) Ответ_4
"3. ""Вопрос"""
1) Ответ_1
2) Ответ_2 - верно
3) Ответ_3
4) Ответ_4
"БЛОК Б. ""НАЗВАНИЕ БЛОКА"""
"1. ""Вопрос"""
1) Ответ_1
2) Ответ_2 - верно
3) Ответ_3
4) Ответ_4
"2. ""Вопрос"""
1) Ответ_1
2) Ответ_2 - верно
3) Ответ_3
4) Ответ_4
"3. ""Вопрос"""
1) Ответ_1 - верно
2) Ответ_2
3) Ответ_3
4) Ответ_4
"БЛОК В. ""НАЗВАНИЕ БЛОКА"""
"1. ""Вопрос"""
1) Ответ_1
2) Ответ_2
3) Ответ_3
4) Ответ_4 - верно
"2. ""Вопрос"""
1) Ответ_1
2) Ответ_2
3) Ответ_3 - верно
4) Ответ_4
"3. ""Вопрос"""
1) Ответ_1 - верно
2) Ответ_2
3) Ответ_3
4) Ответ_4
